train_name,stop_key,stop_id,stop_name,parent_id,key,direction
A,A High St,A40,High St,A40,AHi,A40S
1,1 Houston St,134,Houston St,134,1Ho,134S
H,H Howard Beach - JFK Airport,H03,Howard Beach - JFK Airport,H03,HHo,H03S
A,A Hoyt - Schermerhorn Sts,A42,Hoyt - Schermerhorn Sts,A42,AHo,A42S
2,2 Hoyt St,233,Hoyt St,233,2Ho,233S
S,S Huguenot,S16,Huguenot,S16,SHu,S16S
7,7 Hunters Point Av,720,Hunters Point Av,720,7Hu,720S
6,6 Hunts Point Av,613,Hunts Point Av,613,6Hu,613S
2,2 Intervale Av,218,Intervale Av,218,2In,218S
A,A Inwood - 207 St,A02,Inwood - 207 St,A02,AIn,A02S
2,2 Jackson Av,220,Jackson Av,220,2Ja,220S
G,G Jackson Hts - Roosevelt Av,G14,Jackson Hts - Roosevelt Av,710,GJa,G14S
F,F Jamaica - 179 St,F01,Jamaica - 179 St,F01,FJa,F01S
G,G Jamaica - Van Wyck,G07,Jamaica - Van Wyck,G07,GJa,G07S
G,G Jamaica Center - Parsons/Archer,G05,Jamaica Center - Parsons/Archer,G05,GJa,G05S
R,R Jay St - MetroTech,R29,Jay St - MetroTech,A41,RJa,R29S
A,A Jay St - MetroTech,A41,Jay St - MetroTech,A41,AJa,A41S
S,S Jefferson Av,S24,Jefferson Av,S24,SJe,S24S
L,L Jefferson St,L15,Jefferson St,L15,LJe,L15S
7,7 Junction Blvd,707,Junction Blvd,707,7Ju,707S
2,2 Junius St,254,Junius St,254,2Ju,254S
F,F Kew Gardens - Union Tpke,F06,Kew Gardens - Union Tpke,F06,FKe,F06S
N,N Kings Hwy,N08,Kings Hwy,N08,NKi,N08S
D,D Kings Hwy,D35,Kings Hwy,D35,DKi,D35S
F,F Kings Hwy,F35,Kings Hwy,F35,FKi,F35S
4,4 Kingsbridge Rd,406,Kingsbridge Rd,406,4Ki,406S
D,D Kingsbridge Rd,D04,Kingsbridge Rd,D04,DKi,D04S
A,A Kingston - Throop Avs,A47,Kingston - Throop Avs,A47,AKi,A47S
2,2 Kingston Av,249,Kingston Av,249,2Ki,249S
M,M Knickerbocker Av,M09,Knickerbocker Av,M09,MKn,M09S
J,J Kosciuszko St,J31,Kosciuszko St,J31,JKo,J31S
A,A Lafayette Av,A43,Lafayette Av,A43,ALa,A43S
F,F Lexington Av/53 St,F11,Lexington Av/53 St,630,FLe,F11S
R,R Lexington Av/59 St,R11,Lexington Av/59 St,629,RLe,R11S
B,B Lexington Av/63 St,B08,Lexington Av/63 St,B08,BLe,B08S
A,A Liberty Av,A52,Liberty Av,A52,ALi,A52S
L,L Livonia Av,L26,Livonia Av,254,LLi,L26S
6,6 Longwood Av,614,Longwood Av,614,6Lo,614S
L,L Lorimer St,L10,Lorimer St,G29,LLo,L10S
M,M Lorimer St,M13,Lorimer St,M13,MLo,M13S
1,1 Marble Hill - 225 St,106,Marble Hill - 225 St,106,1Ma,106S
M,M Marcy Av,M16,Marcy Av,M16,MMa,M16S
G,G Metropolitan Av,G29,Metropolitan Av,G29,GMe,G29S
7,7 Mets - Willets Point,702,Mets - Willets Point,702,7Me,702S
M,M Middle Village - Metropolitan Av,M01,Middle Village - Metropolitan Av,M01,MMi,M01S
6,6 Middletown Rd,603,Middletown Rd,603,6Mi,603S
L,L Montrose Av,L13,Montrose Av,L13,LMo,L13S
L,L Morgan Av,L14,Morgan Av,L14,LMo,L14S
5,5 Morris Park,505,Morris Park,505,5Mo,505S
6,6 Morrison Av- Sound View,610,Morrison Av- Sound View,610,6Mo,610S
4,4 Mosholu Pkwy,402,Mosholu Pkwy,402,4Mo,402S
4,4 Mt Eden Av,411,Mt Eden Av,411,4Mt,411S
G,G Myrtle - Willoughby Avs,G32,Myrtle - Willoughby Avs,G32,GMy,G32S
L,L Myrtle - Wyckoff Avs,L17,Myrtle - Wyckoff Avs,L17,LMy,L17S
M,M Myrtle - Wyckoff Avs,M08,Myrtle - Wyckoff Avs,L17,MMy,M08S
M,M Myrtle Av,M11,Myrtle Av,M11,MMy,M11S
S,S Nassau,S12,Nassau,S12,SNa,S12S
G,G Nassau Av,G28,Nassau Av,G28,GNa,G28S
D,D Neck Rd,D38,Neck Rd,D38,DNe,D38S
F,F Neptune Av,F39,Neptune Av,F39,FNe,F39S
2,2 Nereid Av,204,Nereid Av,204,2Ne,204S
2,2 Nevins St,234,Nevins St,234,2Ne,234S
S,S New Dorp,S22,New Dorp,S22,SNe,S22S
2,2 New Lots Av,257,New Lots Av,257,2Ne,257S
L,L New Lots Av,L27,New Lots Av,L27,LNe,L27S
N,N New Utrecht Av,N04,New Utrecht Av,B16,NNe,N04S
2,2 Newkirk Av,246,Newkirk Av,246,2Ne,246S
D,D Newkirk Plaza,D31,Newkirk Plaza,D31,DNe,D31S
G,G Northern Blvd,G16,Northern Blvd,G16,GNo,G16S
D,D Norwood - 205 St,D01,Norwood - 205 St,D01,DNo,D01S
J,J Norwood Av,J21,Norwood Av,J21,JNo,J21S
A,A Nostrand Av,A46,Nostrand Av,A46,ANo,A46S
2,2 Nostrand Av,248,Nostrand Av,248,2No,248S
S,S Oakwood Heights,S21,Oakwood Heights,S21,SOa,S21S
D,D Ocean Pkwy,D41,Ocean Pkwy,D41,DOc,D41S
S,S Old Town,S26,Old Town,S26,SOl,S26S
A,A Ozone Park - Lefferts Blvd,A65,Ozone Park - Lefferts Blvd,A65,AOz,A65S
2,2 Park Pl,228,Park Pl,228,2Pa,228S
S,S Park Pl,S03,Park Pl,S03,SPa,S03S
6,6 Parkchester,608,Parkchester,608,6Pa,608S
D,D Parkside Av,D27,Parkside Av,D27,DPa,D27S
F,F Parsons Blvd,F03,Parsons Blvd,F03,FPa,F03S
6,6 Pelham Bay Park,601,Pelham Bay Park,601,6Pe,601S
5,5 Pelham Pkwy,504,Pelham Pkwy,504,5Pe,504S
2,2 Pelham Pkwy,211,Pelham Pkwy,211,2Pe,211S
2,2 Pennsylvania Av,255,Pennsylvania Av,255,2Pe,255S
S,S Pleasant Plains,S14,Pleasant Plains,S14,SPl,S14S
2,2 President St,241,President St,241,2Pr,241S
R,R Prince St,R22,Prince St,R22,RPr,R22S
S,S Prince's Bay,S15,Prince's Bay,S15,SPr,S15S
R,R Prospect Av,R34,Prospect Av,R34,RPr,R34S
2,2 Prospect Av,219,Prospect Av,219,2Pr,219S
D,D Prospect Park,D26,Prospect Park,D26,DPr,D26S
G,G Queens Plaza,G21,Queens Plaza,G21,GQu,G21S
R,R Queensboro Plaza,R09,Queensboro Plaza,718,RQu,R09S
7,7 Queensboro Plaza,718,Queensboro Plaza,718,7Qu,718S
A,A Ralph Av,A49,Ralph Av,A49,ARa,A49S
1,1 Rector St,139,Rector St,139,1Re,139S
R,R Rector St,R26,Rector St,R26,RRe,R26S
S,S Richmond Valley,S13,Richmond Valley,S13,SRi,S13S
A,A Rockaway Av,A50,Rockaway Av,A50,ARo,A50S
2,2 Rockaway Av,253,Rockaway Av,253,2Ro,253S
A,A Rockaway Blvd,A61,Rockaway Blvd,A61,ARo,A61S
H,H Rockaway Park - Beach 116 St,H15,Rockaway Park - Beach 116 St,H15,HRo,H15S
B,B Roosevelt Island,B06,Roosevelt Island,B06,BRo,B06S
N,N S.B. Coney Island,N12,S.B. Coney Island,N12,NS.,N12S
2,2 Saratoga Av,252,Saratoga Av,252,2Sa,252S
M,M Seneca Av,M06,Seneca Av,M06,MSe,M06S
D,D Sheepshead Bay,D39,Sheepshead Bay,D39,DSh,D39S
A,A Shepherd Av,A54,Shepherd Av,A54,ASh,A54S
2,2 Simpson St,217,Simpson St,217,2Si,217S
F,F Smith - 9 Sts,F22,Smith - 9 Sts,F22,FSm,F22S
1,1 South Ferry,142,South Ferry,142,1So,142S
1,1 South Ferry Loop,140,South Ferry Loop,140,1So,140S
A,A Spring St,A33,Spring St,A33,ASp,A33S
6,6 Spring St,638,Spring St,638,6Sp,638S
S,S St George,S31,St George,S31,SSt,S31S
6,6 St Lawrence Av,609,St Lawrence Av,609,6St,609S
S,S Stapleton,S29,Stapleton,S29,SSt,S29S
G,G Steinway St,G19,Steinway St,G19,GSt,G19S
2,2 Sterling St,242,Sterling St,242,2St,242S
F,F Sutphin Blvd,F04,Sutphin Blvd,F04,FSu,F04S
G,G Sutphin Blvd - Archer Av - JFK Airport,G06,Sutphin Blvd - Archer Av - JFK Airport,G06,GSu,G06S
L,L Sutter Av,L25,Sutter Av,L25,LSu,L25S
2,2 Sutter Av - Rutland Rd,251,Sutter Av - Rutland Rd,251,2Su,251S
9,9 Times Sq - 42 St,902,Times Sq - 42 St,127,9Ti,902S
R,R Times Sq - 42 St,R16,Times Sq - 42 St,127,RTi,R16S
7,7 Times Sq - 42 St,725,Times Sq - 42 St,127,7Ti,725S
1,1 Times Sq - 42 St,127,Times Sq - 42 St,127,1Ti,127S
S,S Tompkinsville,S30,Tompkinsville,S30,STo,S30S
S,S Tottenville,S09,Tottenville,S09,STo,S09S
D,D Tremont Av,D07,Tremont Av,D07,DTr,D07S
L,L Union Sq - 14 St,L03,Union Sq - 14 St,635,LUn,L03S
R,R Union St,R32,Union St,R32,RUn,R32S
A,A Utica Av,A48,Utica Av,A48,AUt,A48S
1,1 Van Cortlandt Park - 242 St,101,Van Cortlandt Park - 242 St,101,1Va,101S
J,J Van Siclen Av,J23,Van Siclen Av,J23,JVa,J23S
A,A Van Siclen Av,A53,Van Siclen Av,A53,AVa,A53S
2,2 Van Siclen Av,256,Van Siclen Av,256,2Va,256S
7,7 Vernon Blvd - Jackson Av,721,Vernon Blvd - Jackson Av,721,7Ve,721S
A,A W 4 St,A32,W 4 St,A32,AW ,A32S
D,D W 4 St,D20,W 4 St,A32,DW ,D20S
D,D W 8 St - NY Aquarium,D42,W 8 St - NY Aquarium,D42,DW ,D42S
2,2 Wakefield - 241 St,201,Wakefield - 241 St,201,2Wa,201S
2,2 Wall St,230,Wall St,230,2Wa,230S
4,4 Wall St,419,Wall St,419,4Wa,419S
2,2 West Farms Sq - E Tremont Av,214,West Farms Sq - E Tremont Av,214,2We,214S
6,6 Westchester Sq - E Tremont Av,604,Westchester Sq - E Tremont Av,604,6We,604S
R,R Whitehall St,R27,Whitehall St,140,RWh,R27S
6,6 Whitlock Av,612,Whitlock Av,612,6Wh,612S
L,L Wilson Av,L20,Wilson Av,L20,LWi,L20S
2,2 Winthrop St,243,Winthrop St,243,2Wi,243S
G,G Woodhaven Blvd,G11,Woodhaven Blvd,G11,GWo,G11S
J,J Woodhaven Blvd,J15,Woodhaven Blvd,J15,JWo,J15S
4,4 Woodlawn,401,Woodlawn,401,4Wo,401S
7,7 Woodside - 61 St,712,Woodside - 61 St,712,7Wo,712S
E,E World Trade Center,E01,World Trade Center,E01,EWo,E01S
F,F York St,F18,York St,F18,FYo,F18S
6,6 Zerega Av,606,Zerega Av,606,6Ze,606S
5,5 138 St - Grand Concourse,416,138 St - Grand Concourse,416,513,416S
5,5 149 St - Grand Concourse,415,149 St - Grand Concourse,222,514,415S
4,4 125 St,621,125 St,621,412,621S
5,5 125 St,621,125 St,621,512,621S
4,4 86 St,626,86 St,626,486,626S
5,5 86 St,626,86 St,626,586,626S
4,4 59 St,629,59 St,629,459,629S
5,5 59 St,629,59 St,629,559,629S
4,4 Grand Central - 42 St,631,Grand Central - 42 St,631,4Gr,631S
5,5 Grand Central - 42 St,631,Grand Central - 42 St,631,5Gr,631S
4,4 14 St - Union Sq,635,14 St - Union Sq,635,414,635S
5,5 14 St - Union Sq,635,14 St - Union Sq,635,514,635S
4,4 Brooklyn Bridge - City Hall,640,Brooklyn Bridge - City Hall,640,4Br,640S
5,5 Brooklyn Bridge - City Hall,640,Brooklyn Bridge - City Hall,640,5Br,640S
5,5 Wall St,419,Wall St,419,5Wa,419S
5,5 Bowling Green,420,Bowling Green,420,5Bo,420S
5,5 Borough Hall,423,Borough Hall,232,5Bo,423S
4,4 Nevins St,234,Nevins St,234,4Ne,234S
5,5 Nevins St,234,Nevins St,234,5Ne,234S
4,4 Atlantic Av - Barclays Ctr,235,Atlantic Av - Barclays Ctr,235,4At,235S
5,5 Atlantic Av - Barclays Ctr,235,Atlantic Av - Barclays Ctr,235,5At,235S
4,4 Franklin Av,239,Franklin Av,239,4Fr,239S
5,5 Franklin Av,239,Franklin Av,239,5Fr,239S
3,3 Crown Hts - Utica Av,250,Crown Hts - Utica Av,250,3Cr,250S
4,4 Crown Hts - Utica Av,250,Crown Hts - Utica Av,250,4Cr,250S
5,5 President St,241,President St,241,5Pr,241S
5,5 Sterling St,242,Sterling St,242,5St,242S
5,5 Winthrop St,243,Winthrop St,243,5Wi,243S
5,5 Church Av,244,Church Av,244,5Ch,244S
5,5 Beverly Rd,245,Beverly Rd,245,5Be,245S
5,5 Newkirk Av,246,Newkirk Av,246,5Ne,246S
5,5 Flatbush Av - Brooklyn College,247,Flatbush Av - Brooklyn College,247,5Fl,247S
5,5 E 180 St,213,E 180 St,213,5E ,213S
5,5 3 Av - 149 St,221,3 Av - 149 St,221,53 ,221S
B,B Bedford Park Blvd,D03,Bedford Park Blvd,D03,BBe,D03S
B,B Kingsbridge Rd,D04,Kingsbridge Rd,D04,BKi,D04S
B,B Fordham Rd,D05,Fordham Rd,D05,BFo,D05S
B,B 182-183 Sts,D06,182-183 Sts,D06,B18,D06S
B,B Tremont Av,D07,Tremont Av,D07,BTr,D07S
B,B 174-175 Sts,D08,174-175 Sts,D08,B17,D08S
B,B 170 St,412,170 St,412,B17,412S
B,B 167 St,D10,167 St,D10,B16,D10S
B,B 161 St - Yankee Stadium,D11,161 St - Yankee Stadium,414,B16,D11S
B,B 155 St,D12,155 St,D12,B15,D12S
B,B 145 St,D13,145 St,A12,B14,D13S
B,B 135 St,224,135 St,224,B13,224S
C,C 168 St,A09,168 St,112,C16,A09S
2,2 96 St,120,96 St,120,296,120S
3,3 96 St,120,96 St,120,396,120S
2,2 72 St,123,72 St,123,272,123S
3,3 72 St,123,72 St,123,372,123S
2,2 59 St - Columbus Circle,125,59 St - Columbus Circle,125,259,125S
3,3 59 St - Columbus Circle,125,59 St - Columbus Circle,125,359,125S
2,2 34 St - Penn Station,128,34 St - Penn Station,128,234,128S
3,3 34 St - Penn Station,128,34 St - Penn Station,128,334,128S
2,2 14 St,132,14 St,132,214,132S
3,3 14 St,132,14 St,132,314,132S
2,2 Chambers St,137,Chambers St,137,2Ch,137S
3,3 Chambers St,137,Chambers St,137,3Ch,137S
3,3 Park Pl,S03,Park Pl,S03,3Pa,S03S
3,3 Wall St,230,Wall St,230,3Wa,230S
3,3 Fulton St,229,Fulton St,229,3Fu,229S
3,3 Clark St,231,Clark St,231,3Cl,231S
3,3 Borough Hall,232,Borough Hall,232,3Bo,232S
3,3 Hoyt St,233,Hoyt St,233,3Ho,233S
3,3 Nevins St,234,Nevins St,234,3Ne,234S
3,3 Atlantic Av - Barclays Ctr,235,Atlantic Av - Barclays Ctr,235,3At,235S
3,3 Bergen St,236,Bergen St,236,3Be,236S
3,3 Grand Army Plaza,237,Grand Army Plaza,237,3Gr,237S
3,3 Eastern Pkwy - Brooklyn Museum,238,Eastern Pkwy - Brooklyn Museum,238,3Ea,238S
3,3 Franklin Av,239,Franklin Av,239,3Fr,239S
C,C 59 St - Columbus Circle,A24,59 St - Columbus Circle,125,C59,A24S
C,C 50 St,126,50 St,126,C50,126S
E,E 50 St,126,50 St,126,E50,126S
C,C 42 St - Port Authority Bus Terminal,A27,42 St - Port Authority Bus Terminal,A27,C42,A27S
E,E 42 St - Port Authority Bus Terminal,A27,42 St - Port Authority Bus Terminal,A27,E42,A27S
C,C 34 St - Penn Station,A28,34 St - Penn Station,A28,C34,A28S
E,E 34 St - Penn Station,A28,34 St - Penn Station,A28,E34,A28S
C,C 23 St,A30,23 St,A30,C23,A30S
E,E 23 St,A30,23 St,A30,E23,A30S
C,C 14 St,A31,14 St,A31,C14,A31S
E,E 14 St,A31,14 St,A31,E14,A31S
C,C W 4 St,A32,W 4 St,A32,CW ,A32S
E,E W 4 St,A32,W 4 St,A32,EW ,A32S
C,C Spring St,A33,Spring St,A33,CSp,A33S
E,E Spring St,A33,Spring St,A33,ESp,A33S
C,C Canal St,A34,Canal St,A34,CCa,A34S
E,E Canal St,A34,Canal St,A34,ECa,A34S
C,C Chambers St,A36,Chambers St,A36,CCh,A36S
C,C High St,A40,High St,A40,CHi,A40S
C,C Jay St - MetroTech,A41,Jay St - MetroTech,A41,CJa,A41S
C,C Hoyt - Schermerhorn Sts,A42,Hoyt - Schermerhorn Sts,A42,CHo,A42S
C,C Lafayette Av,A43,Lafayette Av,A43,CLa,A43S
C,C Clinton - Washington Avs,A44,Clinton - Washington Avs,A44,CCl,A44S
C,C Franklin Av,A45,Franklin Av,A45,CFr,A45S
C,C Nostrand Av,A46,Nostrand Av,A46,CNo,A46S
C,C Kingston - Throop Avs,A47,Kingston - Throop Avs,A47,CKi,A47S
C,C Utica Av,A48,Utica Av,A48,CUt,A48S
C,C Ralph Av,A49,Ralph Av,A49,CRa,A49S
C,C Rockaway Av,A50,Rockaway Av,A50,CRo,A50S
C,C Broadway Jct,A51,Broadway Jct,A51,CBr,A51S
C,C Liberty Av,A52,Liberty Av,A52,CLi,A52S
C,C Van Siclen Av,A53,Van Siclen Av,A53,CVa,A53S
C,C Shepherd Av,A54,Shepherd Av,A54,CSh,A54S
C,C Euclid Av,A55,Euclid Av,A55,CEu,A55S
C,C 145 St,A12,145 St,A12,C14,A12S
C,C 135 St,A14,135 St,A14,C13,A14S
C,C 125 St,A15,125 St,A15,C12,A15S
D,D 125 St,A15,125 St,A15,D12,A15S
B,B 125 St,A15,125 St,A15,B12,A15S
C,C 116 St,A16,116 St,A16,C11,A16S
C,C Cathedral Pkwy (110 St),A17,Cathedral Pkwy (110 St),A17,CCa,A17S
C,C 103 St,A18,103 St,A18,C10,A18S
B,B 103 St,A18,103 St,A18,B10,A18S
C,C 86 St,A20,86 St,A20,C86,A20S
C,C 81 St - Museum of Natural History,A21,81 St - Museum of Natural History,A21,C81,A21S
C,C 72 St,A22,72 St,A22,C72,A22S
F,F 57 St,B10,57 St,B10,F57,B10S
F,F Lexington Av/59 St,R11,Lexington Av/59 St,629,FLe,R11S
Q,Q Lexington Av/59 St,R11,Lexington Av/59 St,629,QLe,R11S
F,F Roosevelt Island,B06,Roosevelt Island,B06,FRo,B06S
F,F 21 St - Queensbridge,B04,21 St - Queensbridge,B04,F21,B04S
F,F Jackson Hts - Roosevelt Av,G14,Jackson Hts - Roosevelt Av,710,FJa,G14S
F,F Forest Hills - 71 Av,G08,Forest Hills - 71 Av,G08,FFo,G08S
M,M 5 Av/53 St,F12,5 Av/53 St,F12,M5 ,F12S
M,M Lexington Av/53 St,F11,Lexington Av/53 St,630,MLe,F11S
M,M Court Sq,F09,Court Sq,719,MCo,F09S
M,M Queens Plaza,G21,Queens Plaza,G21,MQu,G21S
N,N 57 St - 7 Av,R14,57 St - 7 Av,R14,N57,R14S
Q,Q 57 St - 7 Av,R14,57 St - 7 Av,R14,Q57,R14S
N,N 49 St,R15,49 St,R15,N49,R15S
N,N 34 St - Herald Sq,R17,34 St - Herald Sq,D17,N34,R17S
Q,Q 34 St - Herald Sq,R17,34 St - Herald Sq,D17,Q34,R17S
B,B 34 St - Herald Sq,D17,34 St - Herald Sq,D17,B34,D17S
F,F 34 St - Herald Sq,D17,34 St - Herald Sq,D17,F34,D17S
M,M 34 St - Herald Sq,D17,34 St - Herald Sq,D17,M34,D17S
F,F 23 St,D18,23 St,D18,F23,D18S
M,M 23 St,D18,23 St,D18,M23,D18S
F,F 14 St,D19,14 St,D19,F14,D19S
M,M 14 St,D19,14 St,D19,M14,D19S
B,B W 4 St,D20,W 4 St,A32,BW ,D20S
F,F W 4 St,D20,W 4 St,A32,FW ,D20S
M,M W 4 St,D20,W 4 St,A32,MW ,D20S
B,B Broadway-Lafayette St,D21,Broadway-Lafayette St,637,BBr,D21S
F,F Broadway-Lafayette St,D21,Broadway-Lafayette St,637,FBr,D21S
M,M Broadway-Lafayette St,D21,Broadway-Lafayette St,637,MBr,D21S
B,B Grand St,D22,Grand St,D22,BGr,D22S
M,M Delancey St,F15,Delancey St,F15,MDe,F15S
B,B DeKalb Av,R30,DeKalb Av,R30,BDe,R30S
B,B Atlantic Av - Barclays Ctr,D24,Atlantic Av - Barclays Ctr,235,BAt,D24S
Q,Q Atlantic Av - Barclays Ctr,R31,Atlantic Av - Barclays Ctr,235,QAt,R31S
B,B Prospect Park,D26,Prospect Park,D26,BPr,D26S
